"ROCK.NAME","SIO2.WT..","LA.PPM.","CE.PPM.","PR.PPM.","ND.PPM.","SM.PPM.","EU.PPM.","GD.PPM.","TB.PPM.","DY.PPM.","HO.PPM.","ER.PPM.","TM.PPM.","YB.PPM.","LU.PPM.","AVERAGE_LAT","AVERAGE_LON"
"ADAKITE",59.7,24.35,51.02,6.01,23.18,4.36,1.26,3.98,0.54,3.22,0.65,1.78,0.28,1.81,0.3,38,99
"ADAKITE",65.52,17.3733898609664,33.1387912904732,3.46710776848483,12.7869167052443,2.17678346375461,0.69778039043156,1.69690091764793,0.24176585887646,1.34380729740041,0.274933044730602,0.720403573463745,0.109954950994255,0.704548545558606,0.108921355741219,35.36904,133.47329
"ADAKITE",61.82,61.2,113,12.2,42.9,6.47,1.54,4.69,0.6,2.75,0.48,1.21,0.16,1.04,0.15,33.12,85.12
"ADAKITE",73.5,17.27,31.73,2.98,10.56,1.83,0.63,1.44,0.2,0.84,0.15,0.44,0.07,0.44,0.07,14,78.45
"ADAKITE",55.333,60.51,119.2,12.91,46.82,7.132,2.112,4.437,0.615,3.18,0.582,1.479,0.203,1.245,0.206,34.5,89
"ADAKITE",61.1515192297105,34.3627272727273,66.0672727272727,8.36109090909091,32.24,5.65309090909091,1.67563636363636,4.73181818181818,0.631254545454545,3.55018181818182,0.728536363636364,1.99918181818182,0.294236363636364,1.86445454545455,0.287772727272727,34.5,132
"ADAKITE",65.74,20.225,42.308,4.743,18.425,3.459,1.016,3.138,0.377,1.911,0.368,0.902,0.119,0.737,0.099,64.97,32.9
"ADAKITE",63.1,28.72,54.56,5.73,22.72,4.35,1.1,3,0.39,1.63,0.24,0.78,0.13,0.85,0.15,14.8423,75.2032
"ADAKITE",67.18,6.6,12.4,1.73,7.3,1.5,0.56,1.6,0.2,1.1,0.2,0.6,0.08,0.5,0.08,37.8258,140.8514
"ADAKITE",64.6,28.8,61.6,7.9,33.2,6.1,1.7,4.7,0.6,2.9,0.5,1.2,0.2,1.2,0.2,17.85,-99.675
"ADAKITE",56.47,17.9,36.9,4.76,20.2,4.277,1.25,4.19,0.592,3.4,0.665,1.76,0.277,1.86,0.293,46.5432,89.5758
"ADAKITE",56.71,20.68,42.36,5.04,21.62,4.5,1.27,4.17,0.6,3.54,0.74,2.01,0.3,2.06,0.31,46.8,89
"ADAKITE",63.85,14.2999625780923,25.8299973374931,2.76618642304129,10.0846334730358,1.80542810144483,0.676934875085213,1.33605661981732,0.18613119072629,1.0195547360005,0.194292469097301,0.538671078496967,0.0745743743267108,0.501210865881103,0.071401566672971,35.45969,133.55195
"ADAKITE",68.56,28.1,49.5,5.74,20.8,3,0.79,1.63,0.22,1.14,0.2,0.49,0.07,0.44,0.06,29.8,91.8
"ADAKITE",70.09,17.8,37.8,3.88,2.593,15.965,0.65,1.75,0.17,0.99,0.13,0.47,0.06,0.45,0.06,29.6158,89.9683
"ADAKITE",67.88,54.76,88.33,10.08,37.5,5.59,1.83,3.83,0.41,1.32,0.18,0.56,0.07,0.41,0.07,16.2,76.7
"ADAKITE",62.05,10.3,22.2,2.61,10.3,2.34,0.842,2.55,0.364,2.05,0.431,1.26,0.181,1.24,0.203,45.48,81.8042
"ADAKITE",63.83,19.7729690286395,37.2252392268624,3.76551095655523,13.943870968085,2.26407898388144,0.793516486192606,1.5477394519395,0.217351617843346,1.15109507328809,0.214773615049935,0.591894572647188,0.0847507102459625,0.544768830333243,0.0871447325522543,35.41231,133.47833
"ADAKITE",53.27,46.6,110,13.6,53.8,9.31,2.35,6.06,0.7,3.51,0.61,1.73,0.214,1.47,0.189,34.6747,131.9069
"ADAKITE",64.477,57.3,113,11.07,38.02,5.269,1.266,2.828,0.426,2.081,0.37,0.95,0.126,0.768,0.119,34.5,89
"ADAKITE",62.54,32.05,61.86,6.38,24.32,4.72,1.22,3.33,0.45,1.84,0.28,0.94,0.15,1.03,0.18,14.8423,75.2032
"ADAKITE",65.75,16.8,33.4,3.97,14.6,2.62,0.76,2.09,0.27,1.3,0.24,0.66,0.09,0.52,0.08,41.1,95.5
"ADAKITE",75.21,59.31,72.12,25.2,25.2,4.61,0.72,3.89,0.51,3.28,0.22,1.64,0.31,1.33,0.31,13.05,76.5
