"ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"FOIDITE [27103]",90.3,172,19.4,75.8,13.1,4.1,12.5,1.56,6.54,1.04,2.17,0.26,1.55,0.21,-12.25466,43.65196
"FOIDITE [9728] / NEPHELINITE [18179]",202,276,25.2,75,10,2.8,7.4,0.95,4.68,0.81,2.27,0.34,2.28,0.35,-2.7528,35.9161
"FOIDITE [13036]",175,333,37,126,19.2,5.4,13.7,1.7,8.5,1.55,3.8,0.52,3.2,0.43,-1.52,29.25
"FOIDITE, ANALCIME-NEPHELINE [25213]",129.284294394869,220.566400388548,21.8302083472764,74.1285451738241,9.37475927216955,2.46016409532431,5.917675390836,0.801913071146492,4.00208454628204,0.782497127718907,2.08340716722439,0.275008254322365,18.3596302751441,0.26639532762744,66.5647230204194,34.428491005674
"FOIDITE [14499]",38.7,73.8,8.53,33.2,6.87,2.24,6.31,0.92,4.69,0.74,1.83,0.21,1.24,0.17,22,-159.5
"FOIDITE [15670]",34.1709596462574,69.4047484364419,9.40102457873561,38.6829701629287,8.24996056248257,2.80119650241007,7.65471608174322,1.07325690156555,5.71721865912441,0.993243915069912,2.44420623033104,0.311027924949209,1.87840011154045,0.260092339561009,-37.5427,-169.422
"FOIDITE [15670]",45.1924044585987,93.4350955414013,11.8860839968153,46.0753821656051,8.62910031847134,2.80524024283439,7.51397974522293,1.02365210987261,5.35806926751592,0.938565167197452,2.36587856289809,0.316467237261146,1.98328833598726,0.282151512738853,-37.7247,-168.9287
"FOIDITE [22803]",126.1,230.5,23.3,79.44,12.44,3.705,11.75,1.339,6.523,1.235,3.128,0.436,2.782,0.404,22,74.08
"FOIDITE [27103]",139,244,25.9,95.9,15.5,4.96,14.7,1.89,8.81,1.58,3.82,0.52,3.18,0.43,-12.35664,43.67247
"FOIDITE [10877]",166,330,38,143,24.9,5.3,18.2,2.42,11.2,1.88,4.4,0.56,3.27,0.45,40.95,15.62
"FOIDITE [15670]",50.0839780760982,120.25724044801,13.3325220430535,53.3062197156247,10.7209150845977,3.52401650329653,9.27213955040114,1.23956851219318,6.21375486535865,0.997900389228692,2.32230137421558,0.277073000238303,1.59560632298038,0.214219397887044,-37.5327,-169.307
"FOIDITE [15670]",63.9352414671016,136.577070570451,15.9166051396292,61.8689314981303,11.6074460975416,3.74664126024346,10.1184189991248,1.37198969687326,7.27621966743576,1.30277834354364,3.29897420240274,0.433323255628928,2.69623359058,0.395608083379744,-37.7247,-168.9287
