"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"CENTRAL ASIAN FOLDBELT - PALEOZOIC / CHINA - PALEOZOIC / XINJIANG PROVINCE / BEITASHAN FORMATION","ANKARAMITE [12562]",4.59,10,1.37,6.22,1.8,0.58,1.93,0.33,2.13,0.43,1.24,0.18,1.21,0.17,46.3,90
"NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / GREENHILLS COMPLEX","ANKARAMITE, HORNBLENDE [6171]",1.21,2.76,0.45,2.21,0.82,0.31,1.05,0.19,1.28,0.28,0.89,0.13,0.83,0.13,-46.535,168.24
"NEW ZEALAND / SOUTH ISLAND / SOUTHLAND / GREENHILLS COMPLEX","ANKARAMITE, HORNBLENDE [6171]",1.3,3.202,0.5,2.73,1.03,0.34,1.28,0.23,1.37,0.33,1.01,0.15,1.04,0.15,-46.535,168.24
"BALTIC SHIELD / KOLA-LAPLAND PROVINCE / LOVOZERO MASSIF","NOT GIVEN [20859] / ANKARAMITE [17924]",70.9,169,21.7,88.2,15.7,4.17,10.9,1.39,6.58,1.1,2.52,0.31,1.67,0.23,67.82,34.75
"CANARY ISLANDS / TENERIFE / EL PALMAR FORMATION","ANKARAMITE [14094]",56.3,112.9,13.53,50.8,9.57,2.99,8.22,1.17,5.63,0.95,2.19,0.29,1.61,0.22,28.3271,-16.8558
"CANARY ISLANDS / TENERIFE / EL PALMAR FORMATION","ANKARAMITE [14094]",49.7,100.7,12.34,46.2,9.04,2.82,7.91,1.12,5.54,0.97,2.29,0.32,1.71,0.24,28.3206,-16.8555
"CANARY ISLANDS / TENERIFE / EL PALMAR FORMATION","ANKARAMITE [14094]",30.8,61.5,7.41,28.2,5.5,1.78,5.16,0.78,3.92,0.71,1.73,0.24,1.4,0.2,28.3236,-16.8569
"CANARY ISLANDS / TENERIFE / LOS GIGANTES FORMATION","ANKARAMITE [14094]",34.9,74,8.97,34.3,6.9,2.26,6.27,0.94,4.58,0.82,2.04,0.29,1.63,0.23,28.2509,-16.8387
"CANARY ISLANDS / TENERIFE / CARRIZALES FORMATION","ANKARAMITE [14094]",25.3,54.1,6.92,27.3,5.94,1.9,5.44,0.81,4.11,0.73,1.84,0.26,1.41,0.2,28.3131,-16.8462
"CARIBBEAN-COLOMBIAN PLATEAU / DOMINICAN REPUBLIC / DUARTE COMPLEX","ANKARAMITE [13048]",9.23,23.8,3.28,15.46,4.03,1.35,4.41,0.74,4.42,0.79,2.17,0.27,1.66,0.23,18.7,-70.22
"CARIBBEAN-COLOMBIAN PLATEAU / DOMINICAN REPUBLIC / DUARTE COMPLEX","ANKARAMITE [13048]",14.45,36.33,4.96,23.57,6.02,2.07,6.76,1.05,5.91,1.09,2.88,0.39,2.13,0.28,19.28,-70.77
"CAROLINE ISLANDS / KOSRAE","ANKARAMITE [21069] / BASALT [23592]",64.6,135,16.6,66.6,13.4,4.2,11.5,1.63,8.51,1.46,3.3,0.41,2.28,0.32,5.2842,162.9574
"CASCADES / COAST RANGES / OREGON / CASCADE HEAD BASALT","ANKARAMITE [14943]",33.5,71.5,8.74,34.5,7.18,2.4,6.51,0.95,5.08,0.88,2.32,0.307,1.83,0.258,45.1,-124
"CASCADES / COAST RANGES / OREGON / CASCADE HEAD BASALT","ANKARAMITE [14943]",42.4,87.4,10.4,40.9,8.09,2.63,7.32,1.03,5.56,0.97,2.5,0.338,1.98,0.28,45.1,-124
"CASCADES / COAST RANGES / OREGON / CASCADE HEAD BASALT","ANKARAMITE [14943]",54.7,111,13.4,52.3,9.96,3.25,8.67,1.18,6.02,1.01,2.61,0.34,1.98,0.279,45.1,-124
"CANARY ISLANDS / LA PALMA / TABURIENTE / SHIELD STAGE / LOWER TABURIENTE SERIES","ANKARAMITE [15056]",70.9687414898862,135.045020263544,17.1306934896512,69.1497158505473,12.6926430545337,3.72748859357357,11.2317269548886,1.45135856329268,7.40473470478687,1.36573828190862,3.13330445802231,0.440189371586375,2.52042383400265,0.380430394613817,28.6,-17.9
"CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / SREDNOGORIE ARC","ANKARAMITE [13759]",9.80266666666667,20.522,2.65733333333333,14.0746666666667,3.69433333333333,0.916333333333333,2.6,0.369666666666667,2.109,0.491333333333333,1.20166666666667,0.200666666666667,1.00366666666667,0.108,42.2945,27.4999
"CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / SREDNOGORIE ARC","ANKARAMITE [13759]",13.1693333333333,28.131,3.63066666666667,16.769,4.17666666666667,1.11566666666667,3.99566666666667,0.542,2.70833333333333,0.454333333333333,0.986333333333333,0.1665,1.29666666666667,0.296333333333333,42.5101,26.8873
"CARPATHIAN BELT AND PANNONIAN BASIN / SOUTHERN PANNONIAN-EASTERN CARPATHIAN (TISZA-DACIA / SREDNOGORIE ARC","ANKARAMITE [13759]",13.1943333333333,25.764,3.36233333333333,14.487,3.709,1.134,2.92,0.48,2.55333333333333,0.415666666666667,1.266,0.169333333333333,1.437,0.216666666666667,42.2945,27.4999
"ARABIAN-NUBIAN SHIELD / SYRIA / COASTAL RANGE","ANKARAMITE [15667]",20.4,43.9,5.9,26.2,6.36,2.17,6.34,0.91,4.72,0.85,2,0.25,1.45,0.2,34.9619,36.2436
"ARABIAN-NUBIAN SHIELD / SYRIA / COASTAL RANGE","ANKARAMITE [15667]",32,62.5,7.08,26.8,6,1.91,5.87,0.84,4.08,0.77,1.81,0.23,1.26,0.18,34.9306,36.1614
"ARABIAN-NUBIAN SHIELD / SYRIA / COASTAL RANGE","ANKARAMITE [15667]",40.6,75.9,8.89,34.8,6.92,2.27,6.24,0.9,4.75,0.82,1.96,0.25,1.51,0.21,34.9381,36.1647
"ARABIAN-NUBIAN SHIELD / SYRIA / COASTAL RANGE","ANKARAMITE [15667]",34.9,65.4,7.83,28.9,6.22,2.21,6.18,0.9,4.15,0.81,1.9,0.24,1.36,0.2,34.9497,36.1656
"ARABIAN-NUBIAN SHIELD / SYRIA / COASTAL RANGE","ANKARAMITE [15667]",36.5,68.6,7.52,29.5,6.4,2.18,5.66,0.83,4.38,0.87,2.09,0.26,1.48,0.22,34.9467,36.2681
"ARABIAN-NUBIAN SHIELD / SYRIA / COASTAL RANGE","ANKARAMITE [15667]",31.4,63.7,7.47,29.6,6.76,2.22,5.97,0.88,4.72,0.82,2.01,0.26,1.47,0.2,34.9289,36.2722
