"LOCATION","ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"SIBERIAN TRAPS / ANGARA-TASEEVA REGION / CHADOBETS COMPLEX","MELILITITE [23481]",182.7,320,36.3,128.3,22,5.5,16.7,1.9,8,1.3,3.3,0.4,2.2,0.3,59,100
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / PELLO HILL","MELILITITE, OLIVINE [16783]",85.9,162,17.6,67.5,11.6,3.1,8.7,1.1,5,0.9,2.1,0.2,1.5,0.2,-2.7649,36.0169
"MADAGASCAR / MADAGASCAR / TAKARINDOHA DISTRICT / TAKARINDIONA VOLCANIC FIELD","MELILITITE, OLIVINE [24417]",90,167,18.3,66.5,11.1,3.1,8.2,1.1,5.2,0.9,2.1,0.3,1.4,0.2,-19.2,48.8
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / PELLO HILL","MELILITITE, OLIVINE [16783]",92.3,168,18.6,72.9,12.9,3.3,9.2,1.1,5.5,0.9,2.4,0.3,1.7,0.2,-2.7638,36.0165
"EAST AFRICAN RIFT / KENYA RIFT (EASTERN EAST AFRICAN RIFT) / SOUTHERN KENYA RIFT / PELLO HILL","MELILITITE, OLIVINE [16783]",85.6,157,17.1,66.3,11.3,3,8.7,1,5.4,0.8,2.3,0.3,1.5,0.2,-2.7665,36.0171
"APENNINIC-MAGHREBIDES CHAIN / APENNINE / UMBRIA-LATIUM-ABRUZZO DISTRICT / CUPAELLO","MELILITITE, KALSILITE [21149]",265.8,518,60.8,212,36.2,6.81,27.6,3.26,13.4,1.99,4.58,0.57,2.77,0.36,42.4,12.85
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX","MELILITITE, HAUYNE [22482]",253.574850299401,441.588157019295,41.5746839654025,140.817365269461,21.5069860279441,6.27674984572894,17.196146633123,2.16209404297249,11.9655688622754,2.27129075182967,6.06948969899365,0.815701929474384,5.1372255489022,0.742681304058549,48.1024,7.6982
"EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / HELDBURG REGION","MELILITITE [22454]",77.2384,140.677,15.3313,55.6117,10.3757,3.2356,8.4392,1.082,5.8075,0.9687,2.3534,0.2793,1.5389,0.2135,50.2552,10.5503
"BALTIC SHIELD / KOLA-LAPLAND PROVINCE / KANDALAKSHA GRABEN / TURIY MASSIF","MELILITITE [12885]",105,198,24,80,16,4,9.9,2.1,8.9,1.7,4,0.6,3.4,0.6,66.583,34.45
"GARDAR PROVINCE - GREENLAND / GRONNEDAL-IKA COMPLEX","MELILITITE [18011]",28.2,57.1,7.8,31.8,7.03,2.43,6.64,0.98,5.73,0.99,2.96,0.39,2.33,0.19,61.25,-48.08
