"ROCK NAME","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","AVERAGE_LAT","AVERAGE_LON"
"BENMOREITE [22299]",55.1267956964563,126.217962891745,16.3780635265564,67.7016170439625,14.7719690690928,5.34854843435605,13.8883555825331,2.25396330110152,13.2051402575193,2.61183538779845,6.88961994414501,0.967705183340141,5.92513199890684,0.946666209478926,24.1942,39.8902
"BENMOREITE [24136]",13.7,32.7,4.79,21.9,5.87,1.51,5.82,0.96,5.91,1.01,3.23,0.54,3.46,0.59,38.5,-7
"BENMOREITE [18040]",68.1477885367579,137.708705533231,16.7942285751255,67.288132482744,14.4675701152232,4.69765440130462,13.3544308823866,2.13396710755326,11.7729489797913,2.18675186825153,5.42076823111613,0.734237328612273,4.30071365603346,0.628926207876841,-7.952,-14.361
"BENMOREITE [14572]",69,145,18,72,13.1,6.76,10.36,1.45,7.54,1.44,3.43,0.49,3.1,0.51,5.93,10.17
"BENMOREITE [15775]",42.35,89.97,10.91,42.21,9.97,1.211,9.932,1.767,11.06,2.271,6.723,1.039,7.084,1.081,38.67,42.2
"BENMOREITE [27006]",15.3,34.73,4.2,15.5,2.8,0.8,2,0.3,1.4,0.2,0.7,0,0.6,0,-27.01,-69.21
"BENMOREITE [20288]",49.7,105.8,11.49,44.7,8.35,2.48,8.13,1.35,7.57,1.58,4.65,0.76,4.68,0.74,39.2,44
"BENMOREITE [9969]",103.4,200,21,71.2,11.24,3.53,8.99,1.28,8.52,1.69,4.49,0.72,4.67,0.73,-73.62,169.83
"BENMOREITE [20101]",36.5,66.8,7.5,27.5,4.51,1.48,4.35,0.61,3.78,0.7,2.03,0.31,1.97,0.33,40,30
"BENMOREITE [23956]",30,59.4,7.34,29.3,6.1,1.96,5.7,1,5.4,1,3.1,0.44,2.8,0.4,39.3218,41.4341
"BENMOREITE [20288]",56.9,111.1,12.11,46.3,9,2.42,8.03,1.39,8.61,1.75,5.27,0.92,6.08,0.94,39.2,44
"BENMOREITE [9840]",58.2,103.2,14.42,58.5,11.59,3.33,9.69,1.5,7.68,1.45,3.9,0.56,3.3,0.45,19.6174,-96.7416
"BENMOREITE [18040]",55.0215525988651,114.575568280421,14.5620258906526,59.8321798236349,13.8319339450424,4.60347048493618,13.2402609469755,2.0654187178219,11.7572504990929,2.25781324111937,5.71820219650309,0.782470334365282,4.57503126690156,0.691143122463349,-7.902,-14.375
"BENMOREITE [18040]",48.1331756712469,103.499909201257,13.4213632236258,57.0238429469924,13.1859518849816,4.70081916037871,12.8611998364272,2.00713494243674,11.337528432877,2.13826615761186,5.42255295792937,0.72605310535547,4.20505442364095,0.622888130196308,-7.954,-14.367
"BENMOREITE [20101]",34.6,62,6.96,25.2,4.61,1.5,4.35,0.59,3.53,0.72,2.11,0.32,2.09,0.35,40,30
"BENMOREITE [15825]",41.2,81.8,8,28.8,6.4,2.3,5.4,0.8,4.3,0.8,2,0.27,1.6,0.23,37.5,39.75
"BENMOREITE [17097]",79.7,146.3,14.7,52.6,9,2.9,7,1,5.3,1,2.6,0.4,2.3,0.3,32.17,13.02
